pos,train_loss,max_grad_norm,eval_64,eval_128,eval_256
none,1.1840,3.22,1.2249,1.1972,1.2739
learned,0.3268,0.75,0.3270,n/a,n/a
sinusoidal,0.3269,1.74,0.3269,n/a,n/a
rope,0.3281,1.30,0.3277,0.1736,0.1356
alibi,0.4402,2.90,0.4594,0.2510,0.1457
